,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
252,Million Dollar Baby,(2004),132 min,8.1,86        ,"698,329",$100.49M,A determined woman works with a hardened boxing trainer to become a professional.
253,Ben-Hur: Truyền Thuyết Đức Chúa Trời,(1959),212 min,8.1,90        ,"244,577",$74.70M,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
254,Bức Chân Dung Bị Thiêu Cháy,(2019),122 min,8.1,95        ,"98,142",$3.76M,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
255,Hàng Xóm Của Tôi Là Totoro,(1988),86 min,8.1,86        ,"350,816",$1.11M,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
256,Cool Hand Luke,(1967),127 min,8.1,92        ,"181,118",$16.22M,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
257,La haine,(1995),98 min,8.1,****,"180,465",$0.31M,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
258,Tâm trạng khi yêu,(2000),98 min,8.1,87        ,"156,014",$2.73M,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
259,Dáng Hình Thanh Âm,(2016),130 min,8.1,78        ,"88,557",%^%^%^,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
260,Hachiko: Chú Chó Trung Thành,(2009),93 min,8.1,****,"293,721",#231,A college professor bonds with an abandoned dog he takes into his home.
261,Relatos salvajes,(2014),122 min,8.1,77        ,"204,309",$3.11M,Six short stories that explore the extremities of human behavior involving people in distress.
262,Trước Lúc Hoàng Hôn,(2004),80 min,8.1,90        ,"272,737",$5.82M,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
263,Network,(1976),121 min,8.1,83        ,"163,003",#220,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
264,"Paris, Texas",(1984),145 min,8.1,81        ,"110,128",$2.18M,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
265,Phong Ấn Thứ Bảy,(1957),96 min,8.1,88        ,"189,296",#202,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
266,Người Máy Khổng Lồ,(1999),86 min,8.1,85        ,"207,680",$23.16M,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
267,Amores perros,(2000),154 min,8.1,83        ,"244,842",$5.38M,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
268,Khách Sạn Rwanda,(2004),121 min,8.1,79        ,"361,183",$23.53M,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
269,Cầu Sông Kwai,(1957),161 min,8.1,87        ,"225,084",$44.91M,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
270,Persona,(1966),85 min,8.1,86        ,"123,116",#244,A nurse is put in charge of a mute actress and finds that their personae are melding together.
271,In the Name of the Father,(1993),133 min,8.1,84        ,"179,355",$25.01M,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
272,The Man Who Shot Liberty Valance,(1962),123 min,8.1,94        ,"78,732",%^%^%^,A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.
273,All Quiet on the Western Front,(1930),152 min,8.1,91        ,"65,329",$3.27M,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
274,Rebecca,(1940),130 min,8.1,86        ,"140,433",$4.36M,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
275,Neon Genesis Evangelion: The End of Evangelion,(1997),87 min,8.1,****,"58,149",%^%^%^,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).
276,Người Thứ Ba,(1949),104 min,8.1,97        ,"174,962",$0.45M,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
277,Mary Và Max,(2009),92 min,8.1,****,"180,358",#200,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
278,Paper Moon,(1973),102 min,8.1,77        ,"49,515",$30.93M,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
279,On the Waterfront,(1954),108 min,8.1,91        ,"158,135",$9.60M,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
280,Festen,(1998),105 min,8.1,82        ,"89,715",$1.65M,"At Helge's 60th birthday party, some unpleasant family truths are revealed."
281,Peekay Ngây Thơ,(2014),153 min,8.1,****,"192,517",$10.62M,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.
282,The Best Years of Our Lives,(1946),170 min,8.1,93        ,"66,832",$23.65M,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
283,Ba Sắc Màu: Đỏ,(1994),99 min,8.1,100        ,"106,045",$4.04M,A model discovers a retired judge is keen on invading people's privacy.
284,Bajrangi Bhaijaan,(2015),163 min,8.1,****,"91,579",$8.18M,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
285,The Grapes of Wrath,(1940),129 min,8.1,96        ,"95,833",$0.06M,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
286,Chuyện Xảy Ra Trong Đêm,(1934),105 min,8.1,87        ,"106,897",$4.36M,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
287,400 Cú Đấm,(1959),99 min,8.1,****,"121,675",#243,"A young boy, left without attention, delves into a life of petty crime."
288,Sholay,(1975),204 min,8.1,****,"56,956",%^%^%^,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
289,Smultronstället,(1957),91 min,8.1,88        ,"109,687",#186,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
290,Nơi Tất Cả Chỉ Là Những Giấc Mơ,(1982),188 min,8.1,100        ,"65,310",$4.97M,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls."
291,La battaglia di Algeri,(1966),121 min,8.1,96        ,"62,189",$0.06M,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
292,The Message,(1976),177 min,8.1,****,"48,910",%^%^%^,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.
293,Nhất Nhất,(2000),173 min,8.1,94        ,"26,072",$1.14M,Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives.
294,A Woman Under the Influence,(1974),155 min,8.1,88        ,"26,631",$13.34M,"Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage."
295,Kis Uykusu,(2014),196 min,8.1,88        ,"52,955",$0.17M,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.
296,Mr. Smith Goes to Washington,(1939),129 min,8.1,73        ,"117,360",$9.60M,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
297,Đôi Giày Đỏ,(1948),135 min,8.1,****,"36,685",$10.90M,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
298,Kakushi-toride no san-akunin,(1958),139 min,8.1,89        ,"40,321",%^%^%^,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines."
299,Andrei Rublev,(1966),205 min,8.1,****,"55,052",$0.10M,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
300,Bá Vương Biệt Cơ,(1993),171 min,8.1,83        ,"30,681",$5.22M,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
301,Lagaan: Once Upon a Time in India,(2001),224 min,8.1,84        ,"116,718",$0.07M,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
302,Inherit the Wind,(1960),128 min,8.1,75        ,"31,322",%^%^%^,"Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution."
303,Những Đứa Con Của Sói,(2012),117 min,8.1,71        ,"46,697",%^%^%^,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
304,Kumonosu-jô,(1957),110 min,8.1,****,"53,669",%^%^%^,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
305,Les diaboliques,(1955),117 min,8.1,****,"67,227",$1.09M,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
306,Underground,(1995),170 min,8.1,79        ,"59,525",$0.17M,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate."
307,The General,(1926),67 min,8.1,****,"93,597",$1.03M,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
308,Dil Chahta Hai,(2001),183 min,8.1,****,"73,652",$0.30M,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
309,Rang De Basanti,(2006),167 min,8.1,****,"120,316",$2.20M,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
310,Sunrise: A Song of Two Humans,(1927),94 min,8.1,95        ,"52,220",$0.54M,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment."
311,Jungfrukällan,(1960),89 min,8.1,****,"30,292",$1.53M,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way."
312,White Heat,(1949),114 min,8.1,****,"34,180",%^%^%^,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
313,Chak De! India,(2007),153 min,8.1,68        ,"82,098",$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
314,Barfi!,(2012),151 min,8.1,****,"83,828",$2.80M,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
315,Đèn Lồng Đỏ Treo Cao,(1991),125 min,8.1,****,"33,832",$2.60M,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
316,Masaan,(2015),109 min,8.1,****,"29,194",%^%^%^,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
317,Nu Hoang An Do,(2013),146 min,8.1,****,"66,928",$1.43M,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
318,Cuộc Săn Vàng,(1925),95 min,8.1,****,"113,570",$5.45M,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
319,Höstsonaten,(1978),99 min,8.1,****,"35,718",%^%^%^,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young."
